982	1145	Време на промени	Време на промени	Робърт Силвърбърг	Робърт Силвърбърг
983	7226	Планетата в края на времето	Планетата в края на времето	Фредерик Пол	Фредерик Пол
984	1115	Втора одисея: 2010	Втора одисея: 2010	Артър Кларк	Артър Кларк
985	979	Гейтуей	Гейтуей	Фредерик Пол	Фредерик Пол
986	132	Звездна вълна се надига	Звездна вълна се надига	Дейвид Брин	Дейвид Брин
987	1019	Война на реалности	Война на реалности	Филип К. Дик	Филип К. Дик
989	4369	Многоръкият бог на Далайна	Многоръкият бог на далайна	Святослав Логинов	Святослав Логинов
990	999	Планетата на прокълнатите	Планетата на прокълнатите	Хари Харисън	Хари Харисън
991	993	Вечност	Вечност	Грег Беър	Грег Беър
998	7786	Покана за екзекуция	Покана за екзекуция	Владимир Набоков	Владимир Набоков
999	2389	Потапяне в слънцето	Потапяне в слънцето	Дейвид Брин	Дейвид Брин
1000	1417	Алеята на прокълнатите	Алеята на прокълнатите	Роджър Зелазни	Роджър Зелазни
1001	1227	Комар	Комар	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1003	3502	Дяволски свят	Дяволски свят	Пол Андерсън	Пол Андерсън
1009	1267	Фантастична светлина	Фантастична светлина	Тери Пратчет	Тери Пратчет
1010	1267	Фантастична светлина	Фантастична светлина	Тери Пратчет	Тери Пратчет
1011	1226	Императорската гвардия	Императорската гвардия	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1013	4168	Наследството на завоевателите	Наследството на завоевателите	Тимъти Зан	Тимъти Зан
1022	982	Гейтуей IV	Гейтуей IV	Фредерик Пол	Фредерик Пол
1023	1225	Братя по оръжие	Братя по оръжие	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1039	2119	Сделка за кобри	Сделка за кобри	Тимъти Зан	Тимъти Зан
1045	7956	Мъглата на забравата	Мъглата на забравата	Бианка Минте-Кьоних	Бианка Минте-Кьоних
1047	2056	Наклонената свещ	Наклонената свещ	Ърл Стенли Гарднър	Ърл Стенли Гарднър
1049	1836	Дюн	Дюн	Франк Хърбърт	Франк Хърбърт
1050	1836	Дюн	Дюн	Франк Хърбърт	Франк Хърбърт
1051	953	Хиперион	Хиперион	Дан Симънс	Дан Симънс
1052	955	Ендимион	Ендимион	Дан Симънс	Дан Симънс
1056	2497	Стоманеният плъх в танц със смъртта	Стоманеният плъх в танц със смъртта	Хари Харисън	Хари Харисън
1057	1222	Игрите на Вор	Игрите на Вор	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1058	2702	Снежната кралица	Снежната кралица	Джоан Д. Виндж	Джоан Д. Виндж
1059	3204	Преместването на Марс	Преместването на Марс	Грег Беър	Грег Беър
1061	7120	Донърджак	Донърджак	Роджър Зелазни	Роджър Зелазни
1066	1223	Сетаганда	Сетаганда	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1067	3190	Стълба към небето	Стълба към небето	Дейвид Брин	Дейвид Брин
1068	354	Нощен влак за Вавилон	Нощен влак за Вавилон	Рей Бредбъри	Рей Бредбъри
1069	7228	Войната на вярата	Войната на вярата	Л. Е. Модезит-младши	Л. Е. Модезит-младши
1071	1669	Гласовете ви чувам	Гласовете ви чувам	Димитър Талев	Димитър Талев
1075	4511	Синият Марс	Синият Марс	Ким Стенли Робинсън	Ким Стенли Робинсън
1076	4846	Книга на Страшния съд	Книга на Страшния съд	Кони Уилис	Кони Уилис
1078	1144	Терминален експеримент	Терминален експеримент	Робърт Сойер	Робърт Сойер
1080	7311	Играчът на играчите	Играчът на играчите	Йеин М. Бенкс	Йеин М. Бенкс
1086	1457	Душата на огъня	Душата на огъня	Тери Гудкайнд	Тери Гудкайнд
1103	7185	За подмяна	За подмяна	Майкъл Маршал Смит	Майкъл Маршал Смит
1104	956	Триумфът на Ендимион	Триумфът на Ендимион	Дан Симънс	Дан Симънс
1106	1221	Границите на безкрая	Границите на безкрая	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1107	1847	Диамантената ера	Диамантената ера	Нийл Стивънсън	Нийл Стивънсън
1108	958	Падналите богове	Падналите богове	Дейвид Зиндел	Дейвид Зиндел
1110	2756	Стоманеният плъх си свирка блус	Стоманеният плъх си свирка блус	Хари Харисън	Хари Харисън
1112	4170	Гордостта на завоевателите	Гордостта на завоевателите	Тимъти Зан	Тимъти Зан
1114	4510	Зеленият Марс	Зеленият Марс	Ким Стенли Робинсън	Ким Стенли Робинсън
1117	1629	Ударът на кобрата	Ударът на кобрата	Тимъти Зан	Тимъти Зан
1119	1218	За честта на Вор	За честта на Вор	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1120	4462	Червеният Марс	Червеният Марс	Ким Стенли Робинсън	Ким Стенли Робинсън
1125	2755	Стоманения плъх	Стоманения плъх	Хари Харисън	Хари Харисън
1126	7697	Не се връщай	Не се връщай	Лий Чайлд	Лий Чайлд
1128	955	Ендимион	Ендимион	Дан Симънс	Дан Симънс
1131	2630	Пейзажите на времето	Пейзажите на времето	Грегъри Бенфорд	Грегъри Бенфорд
1133	5559	Пътешествията на Тъф	Пътешествията на Тъф	Джордж Р. Р. Мартин	Джордж Р. Р. Мартин
1135	4367	Войната на Ъплифта	Войната на Ъплифта	Дейвид Брин	Дейвид Брин
1139	4941	Сантяго	Сантяго	Майк Резник	Майк Резник
1142	2118	Кобра	Кобра	Тимъти Зан	Тимъти Зан
1148	1456	Протектор	Протектор	Лари Нивън	Лари Нивън
1149	1675	Огледален танц	Огледален танц	Лоис Макмастър Бюджолд	Лоис Макмастър Бюджолд
1150	1446	Хронобандити	Хронобандити	Роджър Зелазни	Роджър Зелазни
1151	954	Падането на Хиперион	Падането на Хиперион	Дан Симънс	Дан Симънс
1152	6952	Посетителите	Посетителите	Клифърд Саймък	Клифърд Саймък
